transaction_id,amount,customer_age,account_age_days,transactions_last_24h,avg_transaction_amount,merchant_risk_score,device_risk_score,ip_risk_score,is_international,is_new_device,is_new_location,hour,is_fraud
TXN000034,548.18,46,457,2,1012.7,0.1618,0.21,0.0831,0,0,0,17,0
TXN000035,2492.89,64,193,4,2279.09,0.2895,0.3817,0.2476,0,0,1,12,0
TXN000036,1237.51,21,107,4,1038.26,0.128,0.2044,0.1291,0,0,0,2,0
TXN000037,1733.57,62,678,1,1662.72,0.07,0.1909,0.3035,0,0,0,12,0
TXN000038,1337.7,61,80,4,1893.69,0.1625,0.2596,0.0455,0,0,0,21,0
TXN000039,658.97,32,852,2,739.81,0.1771,0.1292,0.2065,1,1,0,23,0
TXN000040,2816.03,50,196,3,1470.7,0.1775,0.1011,0.1932,0,0,0,23,0
TXN000041,864.48,26,25,3,1091.89,0.097,0.3115,0.216,0,1,0,20,1
TXN000042,473.42,57,162,7,467.87,0.1248,0.0864,0.2064,0,0,0,21,0
TXN000043,403.84,54,438,1,548.53,0.2575,0.1826,0.2458,0,0,0,4,0
TXN000044,1217.49,36,181,2,694.58,0.3099,0.2752,0.0511,0,0,0,20,0
TXN000045,2192.44,21,81,0,2100.57,0.1748,0.1474,0.226,0,0,0,15,0
TXN000046,1412.0,68,170,10,2149.41,0.162,0.0455,0.4016,0,0,1,0,1
TXN000047,1860.98,41,74,2,1853.7,0.125,0.2376,0.3205,0,0,0,17,1
TXN000048,1307.03,64,853,1,1492.31,0.2307,0.1076,0.2566,0,1,0,19,0
TXN000049,3149.18,53,298,6,1464.07,0.1814,0.3534,0.2016,0,0,0,15,0
TXN000050,1299.47,58,369,4,1331.81,0.1228,0.2151,0.1563,0,0,1,23,1
TXN000051,681.85,57,1270,6,1458.72,0.0842,0.0953,0.2058,0,0,0,11,0
TXN000052,2012.24,28,104,0,1529.59,0.5482,0.2247,0.3018,0,0,0,3,0
TXN000053,1095.81,36,78,2,410.31,0.1942,0.1195,0.287,0,1,0,2,0
TXN000054,1218.21,42,105,6,630.7,0.3442,0.2427,0.192,0,0,0,11,0
TXN000055,290.95,43,1147,3,533.66,0.2587,0.066,0.0746,0,0,0,14,0
TXN000056,2053.29,20,675,1,2380.35,0.0987,0.0136,0.2718,0,1,0,1,0
TXN000057,3432.33,46,1443,1,3490.74,0.1609,0.4407,0.179,0,0,0,19,0
TXN000058,237.81,26,46,3,240.25,0.2688,0.1064,0.1747,0,0,0,19,0
TXN000059,4043.63,56,124,5,3279.25,0.1786,0.268,0.4048,0,0,0,0,0
TXN000060,964.35,53,77,3,1165.27,0.0788,0.1505,0.1817,0,0,0,13,0
TXN000061,1346.56,65,555,26,2228.1,0.1125,0.1459,0.2166,0,0,1,17,1
TXN000062,2638.64,56,97,1,1563.26,0.1898,0.1207,0.2748,0,0,0,11,0
TXN000063,1620.22,37,1039,2,3005.73,0.0817,0.2816,0.1699,0,0,0,10,0
TXN000064,817.01,68,179,2,1270.06,0.2506,0.3603,0.3974,0,0,0,18,0
TXN000065,226.83,39,913,1,422.24,0.1542,0.0824,0.1079,0,0,0,5,0
TXN000066,1426.17,34,182,1,1018.44,0.2643,0.1432,0.0974,0,1,0,0,0
TXN000067,1668.23,65,51,4,1573.35,0.1726,0.1522,0.2823,0,0,0,14,0
TXN000068,1532.65,37,499,1,942.77,0.0558,0.2717,0.1519,1,0,0,22,0
TXN000069,1128.4,21,164,6,1737.86,0.0726,0.3704,0.2813,0,0,0,19,0
TXN000070,525.77,42,57,3,1047.34,0.045,0.2194,0.1062,0,0,0,0,0
TXN000071,566.23,59,149,1,722.81,0.0846,0.4647,0.3027,0,0,0,12,0
TXN000072,463.79,27,181,3,512.76,0.2039,0.2544,0.0526,0,0,0,22,0
TXN000073,935.17,42,2357,1,833.58,0.1205,0.2011,0.3454,0,0,0,16,0
TXN000074,501.64,24,447,1,1265.47,0.1275,0.0687,0.0375,0,1,0,5,1
TXN000075,362.03,53,63,3,278.22,0.0492,0.0613,0.1233,1,0,0,1,1
TXN000076,388.43,42,144,23,635.2,0.3272,0.304,0.0471,0,0,0,11,0
TXN000077,189.85,35,320,5,271.05,0.1422,0.1474,0.207,0,0,0,9,0
TXN000078,1357.75,29,126,4,711.98,0.0871,0.038,0.4908,0,0,0,12,0
TXN000079,763.08,47,174,4,2535.43,0.2834,0.0689,0.0999,0,0,0,8,0
TXN000080,570.83,52,85,3,478.05,0.0254,0.1457,0.4048,0,0,0,17,0
TXN000081,2137.76,66,39,3,1794.02,0.3643,0.2599,0.2823,0,0,1,17,0
TXN000082,5135.06,40,933,2,8056.04,0.216,0.2356,0.1071,1,0,0,5,0
TXN000083,2372.32,26,162,5,3033.51,0.1691,0.1637,0.0791,1,0,0,17,0
TXN000084,2356.74,61,335,1,1204.07,0.0539,0.083,0.1738,0,0,0,10,1
TXN000085,5887.06,50,133,5,2000.0,0.3329,0.0755,0.178,0,0,0,4,0
TXN000086,755.08,54,1081,4,420.41,0.1146,0.081,0.1465,1,0,0,6,0
TXN000087,1028.48,23,288,3,364.53,0.1163,0.2043,0.3734,0,0,0,20,0
TXN000088,764.98,34,47,2,1118.89,0.1163,0.1622,0.0399,0,0,0,0,0
TXN000089,607.88,57,309,2,1449.58,0.2755,0.1898,0.263,0,0,0,12,0
TXN000090,2291.91,61,384,2,2359.21,0.3396,0.2321,0.2503,0,1,0,12,0
TXN000091,1146.58,40,38,4,736.47,0.2987,0.1914,0.4343,0,1,0,12,0
TXN000092,452.72,59,699,5,1255.61,0.1227,0.2791,0.3705,0,0,0,10,0
TXN000093,736.44,61,293,3,1225.84,0.2508,0.2424,0.1927,0,0,0,2,0
TXN000094,638.78,38,70,5,1000.27,0.3254,0.1963,0.012,1,0,0,11,0
TXN000095,1268.23,64,1132,17,1042.39,0.2093,0.1141,0.4105,0,0,0,22,1
TXN000096,683.28,32,588,5,602.87,0.2556,0.3177,0.0092,0,0,0,23,0
TXN000097,870.84,30,415,2,1333.81,0.1275,0.2815,0.0667,0,0,0,17,0
TXN000098,1387.74,53,18,3,1257.07,0.1804,0.0743,0.1978,0,0,0,18,0
TXN000099,429.38,51,1365,4,805.93,0.1276,0.1666,0.0844,0,0,1,19,0
TXN000100,1382.31,25,216,3,1747.68,0.3085,0.1641,0.1657,0,0,0,11,0
TXN000101,1123.1,61,181,21,2251.79,0.2502,0.3181,0.1191,0,0,0,17,1
TXN000102,1622.19,28,24,4,1761.93,0.2836,0.3031,0.3021,0,0,0,9,0
TXN000103,340.37,59,138,3,528.63,0.1456,0.2488,0.1392,0,0,0,9,0
TXN000104,1718.93,18,819,2,1175.86,0.081,0.2324,0.1336,0,0,0,7,0
TXN000105,571.12,59,806,8,579.4,0.2425,0.1211,0.4217,0,0,0,1,1
TXN000106,1035.75,58,40,2,1173.31,0.1312,0.178,0.1917,0,0,1,21,0
TXN000107,1536.39,58,223,0,580.98,0.1404,0.3854,0.1525,0,1,0,11,0
TXN000108,3310.4,52,549,16,2681.19,0.4231,0.1821,0.0744,0,0,0,9,1
TXN000109,1549.75,42,294,2,1897.57,0.0969,0.2052,0.2801,0,0,0,18,0
TXN000110,1782.97,54,112,1,2457.97,0.1018,0.0944,0.0881,0,0,0,11,0
TXN000111,1195.79,32,427,3,2289.77,0.2925,0.0921,0.0509,0,0,1,13,0
TXN000112,875.11,58,291,6,907.4,0.2961,0.1273,0.1391,0,0,0,19,0
TXN000113,964.16,46,316,2,814.09,0.2118,0.1995,0.0756,0,0,0,23,0
TXN000114,1295.04,41,77,3,3711.56,0.2155,0.2774,0.0844,0,0,0,18,0
TXN000115,461.38,44,230,4,976.93,0.4005,0.2441,0.0532,0,0,0,22,0
TXN000116,319.88,47,613,3,424.87,0.2385,0.1334,0.2996,0,0,0,2,1
TXN000117,1213.46,19,293,4,2219.92,0.128,0.2486,0.1512,0,0,0,8,0
TXN000118,1241.95,25,416,24,1212.75,0.5725,0.0502,0.2629,0,0,0,4,1
TXN000119,3478.46,30,196,5,3146.86,0.1415,0.3103,0.1878,1,0,0,4,0
TXN000120,1215.38,23,702,3,1299.95,0.058,0.1357,0.218,0,0,0,10,0
TXN000121,1463.51,40,51,1,1081.39,0.0676,0.1222,0.0753,0,0,0,6,0
TXN000122,2313.65,52,527,5,3191.62,0.1032,0.0433,0.1329,0,0,0,5,0
TXN000123,364.24,52,86,2,373.56,0.4344,0.2989,0.0226,0,0,0,20,0
TXN000124,419.23,42,126,3,727.96,0.2323,0.1289,0.2973,1,0,0,10,0
TXN000125,689.1,62,969,3,589.25,0.249,0.0302,0.3769,0,0,0,19,0
TXN000126,245.97,47,230,28,235.91,0.2168,0.0187,0.2235,0,0,0,2,1
TXN000127,1045.27,22,256,1,2020.75,0.3171,0.2444,0.1874,0,0,1,8,0
TXN000128,681.66,57,458,2,742.34,0.1824,0.2865,0.1248,0,0,0,9,0
TXN000129,2024.25,47,522,4,2066.8,0.0916,0.0809,0.275,0,1,0,19,1
TXN000130,1680.62,51,449,2,1439.95,0.2004,0.0511,0.1025,1,0,0,13,0
TXN000131,1998.13,47,356,2,1677.4,0.0054,0.1655,0.5328,0,0,0,6,0
TXN000132,536.23,46,3,5,797.29,0.138,0.2105,0.1938,0,0,0,12,0
TXN000133,977.53,22,74,5,642.28,0.3813,0.4197,0.1484,0,0,0,17,0
TXN000134,1557.0,47,141,2,1167.75,0.1836,0.1014,0.1872,1,0,0,7,0
TXN000135,1400.94,59,812,1,2086.86,0.2212,0.3572,0.3998,0,0,0,15,1
TXN000136,564.67,33,1142,5,1058.63,0.1282,0.3509,0.0703,0,0,0,15,0
TXN000137,469.73,49,292,3,670.92,0.1628,0.3503,0.624,0,0,1,13,0
TXN000138,210.88,19,207,3,473.75,0.138,0.2702,0.2452,0,0,0,6,0
TXN000139,1418.45,36,1445,4,1265.11,0.2524,0.2378,0.2305,0,0,0,22,0
TXN000140,1426.69,40,317,1,744.08,0.3493,0.1285,0.056,1,0,0,22,1
TXN000141,2279.32,69,555,3,1042.92,0.049,0.0991,0.0769,0,0,0,7,0
TXN000142,509.65,29,370,5,927.84,0.1061,0.2551,0.0224,0,1,0,13,1
TXN000143,1238.48,32,204,3,803.44,0.2968,0.1191,0.0967,0,0,0,0,0
TXN000144,1411.12,39,253,2,1347.04,0.149,0.1341,0.3411,0,0,0,22,0
TXN000145,432.85,69,465,23,1616.72,0.4954,0.0998,0.3738,0,0,0,20,1
TXN000146,3615.11,62,1057,1,4340.28,0.1298,0.1028,0.2401,0,0,0,22,0
TXN000147,1460.53,19,256,5,1864.18,0.1914,0.3889,0.205,0,0,1,5,0
TXN000148,6512.82,30,234,2,3346.19,0.2098,0.1053,0.2592,0,1,0,7,0
TXN000149,382.97,60,24,3,618.3,0.1997,0.2564,0.1764,0,0,0,5,0
TXN000150,487.37,21,57,4,357.57,0.137,0.2323,0.058,0,0,0,19,0
TXN000151,1023.52,62,4,0,1085.61,0.4482,0.5341,0.0863,0,0,0,20,0
TXN000152,902.73,32,60,7,1999.43,0.2288,0.3536,0.2359,0,0,0,21,0
TXN000153,1322.28,65,669,2,1791.51,0.2405,0.327,0.3129,0,0,0,19,0
TXN000154,5945.35,33,588,8,2560.52,0.3189,0.1912,0.1841,0,0,0,4,0
TXN000155,168.86,40,670,6,185.75,0.0091,0.1176,0.1435,0,0,0,6,0
TXN000156,4338.62,52,13,6,2636.17,0.4741,0.1514,0.3524,0,0,0,14,0
TXN000157,2214.77,24,490,1,1386.9,0.1308,0.4838,0.1345,1,0,0,17,0
TXN000158,290.8,46,141,6,372.11,0.3058,0.1851,0.0711,0,0,0,6,0
TXN000159,898.38,44,285,3,1819.78,0.4719,0.1556,0.3285,0,0,0,19,0
TXN000160,655.33,58,969,0,1234.77,0.3839,0.1081,0.3123,0,0,0,18,0
TXN000161,3182.04,69,365,2,1432.05,0.3092,0.36,0.1582,0,0,0,18,0
TXN000162,2399.06,52,56,1,2206.97,0.128,0.0564,0.0538,0,0,1,21,1
TXN000163,571.12,39,220,2,1482.07,0.3095,0.0851,0.3452,0,0,0,17,0
TXN000164,618.75,39,1397,2,391.12,0.2309,0.0695,0.3087,0,0,0,14,0
TXN000165,371.34,39,1027,3,992.16,0.2969,0.2581,0.4366,0,0,0,9,0
TXN000166,224.37,60,697,3,353.42,0.0632,0.1153,0.335,0,0,0,8,0
TXN000167,1806.34,34,60,6,1727.35,0.3156,0.2288,0.1188,0,0,0,1,0
TXN000168,11670.38,26,74,3,2917.78,0.172,0.0921,0.151,0,0,0,1,0
TXN000169,720.38,35,45,2,459.89,0.0966,0.0273,0.1133,1,0,0,20,0
TXN000170,525.66,19,63,2,685.38,0.5545,0.2731,0.1275,0,0,0,14,1
TXN000171,600.59,23,5,4,591.31,0.2168,0.1149,0.1159,0,0,0,5,0
TXN000172,1323.59,22,827,1,798.13,0.1621,0.1245,0.2517,0,0,0,21,0
TXN000173,3199.41,58,536,1,1463.66,0.1724,0.1922,0.202,0,0,0,14,0
TXN000174,701.8,55,698,4,804.2,0.0696,0.199,0.0713,0,0,0,19,0
TXN000175,1535.38,54,300,17,1731.55,0.3138,0.0907,0.168,0,0,0,11,1
TXN000176,1464.46,42,1,4,2311.76,0.2196,0.1556,0.0396,0,0,1,8,0
TXN000177,3418.88,55,278,4,2371.39,0.166,0.2223,0.3845,1,1,0,0,0
TXN000178,881.44,26,28,3,501.33,0.2272,0.1029,0.3417,0,0,0,20,0
TXN000179,996.13,64,866,1,2893.29,0.0659,0.2831,0.1616,0,0,0,10,0
TXN000180,2460.22,44,14,3,3060.25,0.1691,0.5826,0.1251,0,0,0,3,1
TXN000181,1668.17,66,169,25,3251.51,0.2387,0.1744,0.3155,0,0,0,19,1
TXN000182,1066.92,25,814,12,981.94,0.3257,0.2771,0.1609,0,1,0,6,0
TXN000183,327.94,43,687,14,647.88,0.3484,0.2518,0.2128,0,0,0,3,1
TXN000184,266.39,54,773,2,550.61,0.0061,0.062,0.1004,0,0,0,17,0
TXN000185,940.76,43,449,1,507.12,0.2788,0.2484,0.3009,0,0,0,12,0
TXN000186,1009.4,41,99,6,1105.64,0.3615,0.2983,0.2789,0,0,0,7,1
TXN000187,1920.9,26,685,3,1985.24,0.1224,0.2007,0.2819,0,0,0,9,0
TXN000188,3470.37,37,887,3,2736.93,0.0687,0.0927,0.2469,0,0,0,6,0
TXN000189,1331.5,30,899,3,780.64,0.0684,0.0873,0.2993,0,0,0,19,0
TXN000190,847.84,33,727,3,1067.33,0.1997,0.4796,0.3073,1,1,0,0,0
TXN000191,819.83,53,481,4,1019.5,0.2156,0.1814,0.1903,0,0,0,11,0
TXN000192,566.61,50,1025,4,702.96,0.1623,0.1449,0.0358,0,0,0,22,0
TXN000193,3327.09,49,713,1,1835.41,0.0461,0.0418,0.1019,0,0,0,17,0
TXN000194,1361.74,36,31,6,1413.74,0.3662,0.0594,0.2069,0,0,0,1,0
TXN000195,1031.92,67,156,2,1211.09,0.048,0.1205,0.2441,0,0,0,9,0
TXN000196,1747.26,22,190,8,1409.25,0.3921,0.4248,0.2613,0,0,0,1,0
TXN000197,4619.33,35,895,3,1687.18,0.0205,0.0485,0.4443,0,0,0,14,0
TXN000198,1745.26,24,369,3,1675.4,0.4758,0.0522,0.4083,0,0,0,20,0
TXN000199,525.77,35,24,16,609.75,0.0918,0.0866,0.0594,0,0,0,7,1
TXN000200,5979.42,68,49,4,2053.77,0.2283,0.1529,0.0822,0,0,0,12,0
TXN000201,2724.79,37,167,5,1311.28,0.0562,0.191,0.207,0,0,0,11,0
TXN000202,1552.19,65,111,2,808.98,0.0708,0.1661,0.1166,0,1,0,15,0
TXN000203,981.01,43,79,2,1292.02,0.275,0.1019,0.0934,0,0,0,9,0
TXN000204,1003.48,54,141,4,1395.68,0.1494,0.1395,0.1488,0,0,1,1,0
TXN000205,852.75,41,485,19,2338.46,0.0676,0.1364,0.0642,0,1,0,13,0
TXN000206,896.41,31,551,3,527.26,0.1476,0.1396,0.2111,0,0,0,0,0
TXN000207,2892.39,57,1167,16,2772.46,0.2345,0.125,0.1412,0,0,0,2,0
TXN000208,413.94,68,360,3,1114.56,0.2842,0.0665,0.178,0,0,0,1,0
TXN000209,1490.26,31,178,1,769.46,0.2881,0.129,0.1137,0,0,0,13,0
TXN000210,625.61,58,239,2,753.15,0.2709,0.099,0.1262,0,0,0,14,0
TXN000211,483.62,31,19,3,544.05,0.1204,0.3341,0.078,0,1,0,1,0
TXN000212,141.07,55,175,4,324.2,0.1241,0.2932,0.4167,1,0,0,12,0
TXN000213,2309.74,59,97,4,1761.96,0.067,0.0796,0.3501,0,0,0,5,0
TXN000214,5782.52,41,58,4,4387.96,0.2891,0.5146,0.0738,1,0,0,6,0
TXN000215,344.22,56,212,1,353.42,0.143,0.1674,0.2448,0,0,1,4,0
TXN000216,447.94,32,63,2,563.8,0.0462,0.2059,0.3463,0,0,0,20,0
TXN000217,7868.84,22,31,5,1855.87,0.2785,0.1386,0.2993,0,0,0,6,0
TXN000218,547.96,23,424,5,1062.15,0.2433,0.0924,0.2072,0,0,0,23,0
TXN000219,1322.53,41,647,5,1966.66,0.0536,0.4436,0.4082,0,0,0,6,1
TXN000220,1507.69,64,260,0,1021.26,0.2063,0.4775,0.0946,0,0,0,19,0
TXN000221,418.06,24,2,1,730.38,0.6076,0.1437,0.2785,1,0,0,20,0
TXN000222,514.6,41,204,6,936.28,0.05,0.2542,0.142,0,0,0,17,0
TXN000223,385.63,54,22,11,206.96,0.0674,0.2312,0.0479,0,0,0,23,0
TXN000224,687.06,28,486,8,492.53,0.186,0.289,0.3742,0,0,0,22,0
TXN000225,2779.63,55,889,1,2129.83,0.056,0.2503,0.2968,0,0,1,6,0
TXN000226,2791.5,33,374,5,2525.84,0.2191,0.3423,0.272,0,0,0,14,0
TXN000227,2005.47,60,114,3,2934.57,0.1057,0.1371,0.111,0,1,1,10,1
TXN000228,1299.38,48,1156,3,1493.1,0.0727,0.0448,0.2214,1,0,0,16,0
TXN000229,216.43,46,478,4,226.05,0.1185,0.2044,0.3357,0,0,0,2,0
TXN000230,1119.81,27,34,20,703.1,0.2588,0.4828,0.0397,0,1,0,19,1
TXN000231,3503.37,42,95,5,2771.82,0.1652,0.0185,0.0717,0,0,0,15,0
TXN000232,2050.47,62,570,25,3415.7,0.3529,0.0172,0.0651,0,0,0,20,1
TXN000233,4394.47,19,98,5,2846.52,0.1013,0.0118,0.2622,1,0,0,12,0
TXN000234,369.24,57,308,2,929.48,0.276,0.2177,0.159,0,0,0,1,0
TXN000235,368.4,43,207,25,439.39,0.3763,0.1879,0.01,0,0,0,23,1
TXN000236,568.74,55,151,7,1065.88,0.2351,0.2959,0.29,0,0,1,22,1
TXN000237,691.57,52,55,2,1108.06,0.2178,0.4826,0.106,0,0,0,19,0
TXN000238,9466.53,40,523,2,3280.97,0.1981,0.2257,0.138,0,0,0,22,0
TXN000239,572.83,34,427,1,1286.21,0.109,0.0116,0.0885,1,0,0,20,0
TXN000240,707.06,50,911,5,1109.51,0.0738,0.1568,0.0633,0,0,0,6,0
TXN000241,1528.69,25,121,4,1154.53,0.2733,0.1838,0.1748,0,0,0,7,0
TXN000242,1120.35,48,20,4,1450.84,0.2329,0.3145,0.1037,0,0,0,22,0
TXN000243,1852.08,22,1027,3,1700.21,0.2166,0.2267,0.0898,0,1,0,22,0
TXN000244,1449.65,51,411,3,660.39,0.2636,0.1003,0.1554,0,0,0,9,1
TXN000245,749.73,50,1,4,523.04,0.0691,0.2144,0.1415,1,0,0,13,0
TXN000246,2211.92,22,1983,3,2862.33,0.2261,0.3114,0.098,0,0,1,9,0
TXN000247,323.02,57,939,1,347.68,0.1502,0.087,0.5223,0,0,0,15,1
TXN000248,4620.49,39,190,4,3451.01,0.1968,0.0495,0.0936,1,0,0,21,0
TXN000249,408.2,58,406,2,287.87,0.1519,0.2861,0.3371,0,0,0,1,1
TXN000250,736.74,20,141,0,728.38,0.0694,0.1925,0.2614,0,0,0,0,0
TXN000251,2640.26,27,121,3,2165.26,0.117,0.1487,0.2111,0,0,0,8,0
TXN000252,1338.24,43,240,1,1096.9,0.1685,0.0264,0.279,0,0,0,10,0
TXN000253,414.78,27,152,3,436.36,0.1192,0.2972,0.1469,0,0,0,6,0
TXN000254,1059.57,35,169,4,1478.08,0.1399,0.2609,0.1299,0,0,0,21,0
TXN000255,1729.06,52,33,2,1149.29,0.5179,0.0391,0.4656,0,0,0,13,0
TXN000256,1106.83,25,2185,4,942.72,0.1613,0.343,0.2396,0,0,0,11,0
TXN000257,225.59,53,442,2,708.57,0.3094,0.1823,0.1039,0,1,0,8,1
TXN000258,679.64,23,50,4,1070.39,0.1273,0.2955,0.1724,0,0,0,5,0
TXN000259,560.2,27,63,8,729.72,0.0118,0.2702,0.153,0,0,0,5,0
TXN000260,5396.74,48,592,4,6028.01,0.0644,0.4705,0.2076,0,0,0,11,0
TXN000261,1797.51,59,3000,3,927.03,0.2665,0.0501,0.3171,0,0,0,9,0
TXN000262,4913.05,26,300,5,844.18,0.0924,0.3655,0.4279,0,0,0,9,0
TXN000263,194.13,33,99,2,750.59,0.4303,0.1013,0.3106,0,0,0,9,0
TXN000264,4497.55,66,2036,4,3804.22,0.2483,0.2446,0.1378,0,0,0,14,0
TXN000265,361.74,69,454,3,348.16,0.0832,0.3737,0.2258,1,0,0,10,0
TXN000266,1277.08,48,131,3,1410.36,0.1622,0.1288,0.1112,0,0,0,13,0
TXN000267,1250.27,41,341,4,927.5,0.119,0.2227,0.0411,0,0,0,18,0
TXN000268,439.66,36,319,3,404.89,0.302,0.1446,0.4104,0,0,0,3,0
TXN000269,506.67,49,557,2,618.1,0.1473,0.1945,0.1184,0,0,0,0,0
TXN000270,1391.24,48,425,2,1369.04,0.0221,0.1676,0.1669,0,0,0,12,0
TXN000271,813.25,33,1229,2,598.8,0.0816,0.5331,0.1687,0,0,0,17,0
TXN000272,1695.11,19,736,1,1315.14,0.1174,0.069,0.1438,0,0,0,2,0
TXN000273,4081.24,25,199,5,3679.04,0.3052,0.1849,0.2615,0,0,0,3,0
TXN000274,896.52,67,1147,4,1235.73,0.1501,0.1496,0.0417,0,1,1,17,0
TXN000275,1868.83,39,145,2,396.45,0.3043,0.0277,0.0501,0,0,0,18,0
TXN000276,738.76,43,234,3,606.22,0.0775,0.1068,0.1224,0,0,0,9,0
TXN000277,1365.9,42,22,1,898.04,0.1486,0.0965,0.05,0,0,0,9,0
TXN000278,648.16,58,598,20,857.0,0.2213,0.2727,0.1806,0,0,0,1,1
TXN000279,1353.81,21,392,3,1219.76,0.2763,0.2946,0.1406,0,0,0,2,0
TXN000280,1508.08,22,608,2,1364.73,0.1537,0.0586,0.2505,0,0,0,22,0
TXN000281,1286.65,32,1501,1,3682.58,0.2315,0.3305,0.4883,0,0,0,10,0
TXN000282,737.48,43,224,26,1093.78,0.2682,0.2459,0.0814,0,1,0,3,1
TXN000283,326.73,52,638,5,489.54,0.3472,0.2445,0.1068,0,0,0,12,0
TXN000284,1767.66,43,485,2,2459.38,0.1418,0.2412,0.2956,0,0,0,5,0
TXN000285,1473.96,40,1007,3,2654.78,0.3341,0.1815,0.1388,0,0,0,1,0
TXN000286,1321.91,66,1312,5,1290.4,0.2761,0.1193,0.2693,0,0,0,13,0
TXN000287,1990.36,26,969,1,922.9,0.3701,0.3152,0.066,0,0,0,13,1
TXN000288,1821.75,47,296,2,1695.58,0.3471,0.5658,0.1172,0,0,0,10,0
TXN000289,494.0,46,99,1,946.0,0.2396,0.0773,0.1279,0,0,0,7,0
TXN000290,147.53,42,53,5,260.08,0.1111,0.2935,0.2258,0,0,0,18,0
TXN000291,1322.2,59,145,12,1626.9,0.1069,0.0825,0.3929,0,0,0,2,0
TXN000292,940.11,31,232,5,2047.91,0.1344,0.2295,0.1893,0,0,0,21,1
TXN000293,3555.36,67,1234,8,3007.19,0.1064,0.335,0.0923,1,0,0,3,1
TXN000294,1383.92,35,205,4,657.52,0.3016,0.3813,0.1278,0,0,0,21,0
TXN000295,935.96,46,11,25,1284.75,0.115,0.0794,0.1423,0,0,0,4,1
TXN000296,1360.13,45,192,3,1304.35,0.1508,0.3245,0.35,1,0,0,1,0
TXN000297,919.51,62,213,14,1164.17,0.2944,0.272,0.2361,0,0,0,14,1
TXN000298,840.59,40,127,3,1188.44,0.1433,0.1939,0.0703,0,0,0,21,0
TXN000299,1249.2,32,357,3,1125.51,0.1669,0.2732,0.1182,1,0,0,22,0
TXN000300,883.07,19,238,2,1271.85,0.0267,0.0752,0.1064,1,0,0,9,0
